Country,Comments,lower_comments,character,rovio,crash,frustrat,disapp,hat,n't,wait,annoy,sham,proble,waste,ruin,terrible,delet,uninstall,bad,rubbish,garbage,junk,crap,not,sum_1,negative
US,"Now you cannot play offline, only online.  This is not good.  Otherwise it is entertaining fun.","now you cannot play offline, only online.  this is not good.  otherwise it is entertaining fun.",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
US,Worth downloading.,worth downloading.,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Awesome game. Passes the time well.,awesome game. passes the time well.,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,"The game itself is entertaining, despite the frustration of 5 lives/tries that refreshed one per 30 minutes...until the newest update which now has 3 lives/tries that refresh one per 60 minutes.   I will likely uninstall and play the other  angrybirds games if I need a fix.","the game itself is entertaining, despite the frustration of 5 lives/tries that refreshed one per 30 minutes...until the newest update which now has 3 lives/tries that refresh one per 60 minutes.   i will likely uninstall and play the other  angrybirds games if i need a fix.",274,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1
US,It's all about the in game currency. Some levels are purposefully ridiculously hard to try and force you to make an in-app purchase to continue to play.  do not play this play the old games since there really is not anything new with this version.,it's all about the in game currency. some levels are purposefully ridiculously hard to try and force you to make an in-app purchase to continue to play.  do not play this play the old games since there really is not anything new with this version.,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
US,After the update not enough lives. A few levels almost impossible to get 3 stars even when using one of all the special options. They are just discouraging people from playing.,after the update not enough lives. a few levels almost impossible to get 3 stars even when using one of all the special options. they are just discouraging people from playing.,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
US,This is a total rip-off to those that loved the original. I do not care how good you may be its just a short matter of time before Rovio has its hand out requesting money to continue. I guess they did not make enough with the first version and hey somebody has to pay for all these graphics...,this is a total rip-off to those that loved the original. i do not care how good you may be its just a short matter of time before rovio has its hand out requesting money to continue. i guess they did not make enough with the first version and hey somebody has to pay for all these graphics...,293,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
US,One positive: A lot of levels but... Crashes constantly on my ipad 2 though I do not have the same issues with other games. Way to many ads by greedy designers. Not enough innovation.,one positive: a lot of levels but... crashes constantly on my ipad 2 though i do not have the same issues with other games. way to many ads by greedy designers. not enough innovation.,183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
US,Great game! Love it. ??,great game! love it. ??,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Great!!,great!!,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
